Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015",latitude,longitude,Lat From Bos,Lon From Bos,Distance From Bos Sum,prescriptions_dispensed_by_us_retailers_in_that_year_millions,Distance from Water,Boston Lat,Boston Lon,Max ,Mion lat,Glou,,,
Essex,0,0,1,5.9,2,11.4,42.62781,-70.780576,0.26781,0.120576,0.388386,163,0.086576,,,,,,,,
Everett,35,18.5,27,14.2,68,32.6,42.407396,-71.051183,0.047396,0.391183,0.438579,174,0.357183,,,,,,,,
Fairhaven,10,12.4,18,22.3,14,17.6,41.631672,-70.870045,0.728328,0.210045,0.938373,184,0.176045,,,,,,,,
Fall River,112,24.4,116,25.4,155,34.9,41.819766,-71.165971,0.540234,0.505971,1.046205,196,0.471971,,,,,,,,
Falmouth,13,7.9,18,10.8,34,21.6,41.614199,-70.493263,0.745801,0.166737,0.912538,202,0,,,,,,,,
Fitchburg,29,14.7,30,14.8,48,23.8,42.583689,-71.816767,0.223689,1.156767,1.380456,210,1.122767,,,,,,,,
Framingham,26,7.8,24,7.3,36,10.5,42.446396,-71.459405,0.086396,0.799405,0.885801,219,0.765405,,,,,,,,
Franklin,8,5.4,9,5.8,17,10.7,42.08868,-71.404814,0.27132,0.744814,1.016134,217,0.710814,,,,,,,,
Gardner,14,13.5,10,9.6,18,17.8,42.582529,-72.025884,0.222529,1.365884,1.588413,207,1.331884,,,,,,,,
Georgetown,0,0,3,7.4,5,12.2,42.72377,-70.981298,0.36377,0.321298,0.685068,196,0.287298,,,,,,,,
Gloucester,28,18.4,16,10.6,31,21.5,42.630011,-70.694179,0.270011,0.034179,0.30419,116,0,,,,,,,,
Goshen,0,0,0,0,1,19,42.443837,-72.819446,0.083837,2.159446,2.243283,126,2.125446,,,,,,,,
Grafton,3,3.9,5,5.9,8,9,42.203944,-71.682862,0.156056,1.022862,1.178918,138,0.988862,,,,,,,,
Granby,0,0,1,3.2,6,19.2,42.262285,-72.504086,0.097715,1.844086,1.941801,142,1.810086,,,,,,,,
Granville,3,N/A,0,0,0,0,42.112748,-72.952003,0.247252,2.292003,2.539255,149,2.258003,,,,,,,,
Great Barrington,0,0,0,0,3,8.4,42.299392,-73.26665,0.060608,2.60665,2.667258,155,2.57265,,,,,,,,
Greenfield,7,7.7,6,6.7,22,25.2,42.601335,-72.623619,0.241335,1.963619,2.204954,163,1.929619,,,,,,,,
Groton,1,2.1,5,9.6,3,5.6,42.446396,-71.459405,0.086396,0.799405,0.885801,174,0.765405,,,,,,,,
Groveland,2,6.5,4,12.2,6,18.6,42.751074,-71.021437,0.391074,0.361437,0.752511,184,0.327437,,,,,,,,
Hadley,1,4.2,0,0,2,7.6,42.356804,-72.576613,0.003196,1.916613,1.919809,196,1.882613,,,,,,,,
Halifax,3,7.9,2,5.2,8,21.3,41.988351,-70.860578,0.371649,0.200578,0.572227,202,0.166578,,,,,,,,
Hamilton,1,2.4,1,2.4,2,5.2,42.635443,-70.879123,0.275443,0.219123,0.494566,210,0.185123,,,,,,,,
Hampden,0,0,2,7.6,4,15.6,42.067614,-72.417507,0.292386,1.757507,2.049893,219,1.723507,,,,,,,,
Hanover,8,12,5,7.1,5,7.2,42.123534,-70.851048,0.236466,0.191048,0.427514,217,0.157048,,,,,,,,
Hanson,5,10.4,6,12,9,17.6,42.055701,-70.875936,0.304299,0.215936,0.520235,207,0.181936,,,,,,,,
Hardwick,1,7.6,2,14.7,2,13.4,42.347856,-72.225251,0.012144,1.565251,1.577395,196,1.531251,,,,,,,,
Harvard,2,6.7,0,0,1,3.1,42.500187,-71.575864,0.140187,0.915864,1.056051,116,0.881864,,,,,,,,
Harwich,4,6.4,5,7.9,10,16.3,41.835582,-70.043359,0.524418,0.616641,1.141059,126,0,,,,,,,,
Hatfield,0,0,0,0,5,30.5,42.387269,-72.643081,0.027269,1.983081,2.01035,138,1.949081,,,,,,,,
Haverhill,24,8.1,36,12,85,27.9,42.792639,-71.072501,0.432639,0.412501,0.84514,142,0.378501,,,,,,,,
Heath,0,0,0,0,0,0,42.618011,-72.788896,0.258011,2.128896,2.386907,149,2.094896,,,,,,,,
Hingham,2,2,5,4.6,4,3.6,42.212105,-70.884989,0.147895,0.224989,0.372884,155,0.190989,,,,,,,,
Hinsdale,0,0,0,0,2,19.7,42.29237,-73.22164,0.06763,2.56164,2.62927,163,2.52764,,,,,,,,
Holbrook,7,13,11,20.4,14,25.9,42.144424,-71.00289,0.215576,0.34289,0.558466,174,0.30889,,,,,,,,
Holden,1,1.3,3,3.6,11,12.7,42.336791,-71.845316,0.023209,1.185316,1.208525,184,1.151316,,,,,,,,
Holland,0,0,0,0,1,8.1,42.061063,-72.163991,0.298937,1.503991,1.802928,196,1.469991,,,,,,,,
Holliston,5,7.2,2,2.9,5,7.4,42.446396,-71.459405,0.086396,0.799405,0.885801,202,0.765405,,,,,,,,
Holyoke,12,6,25,12.2,33,16.6,42.198291,-72.64207,0.161709,1.98207,2.143779,210,1.94807,,,,,,,,
Hopedale,1,3.3,2,6.5,4,13.5,42.127515,-71.533138,0.232485,0.873138,1.105623,219,0.839138,,,,,,,,
Hopkinton,7,10.4,1,1.4,7,9.4,42.446396,-71.459405,0.086396,0.799405,0.885801,217,0.765405,,,,,,,,
Hubbardston,0,0,1,4.6,4,18.3,42.483895,-72.011516,0.123895,1.351516,1.475411,207,1.317516,,,,,,,,
Hudson,5,5.5,4,4.2,12,12.6,42.446396,-71.459405,0.086396,0.799405,0.885801,196,0.765405,,,,,,,,
Hull,3,5.4,7,12.6,11,21.4,42.284413,-70.873659,0.075587,0.213659,0.289246,116,0.179659,,,,,,,,
Huntington,2,18.4,1,9.2,0,0,42.313427,-72.903677,0.046573,2.243677,2.29025,126,2.209677,,,,,,,,
Ipswich,3,4.6,7,10.6,12,18.2,42.68571,-70.864132,0.32571,0.204132,0.529842,138,0.170132,,,,,,,,
Kingston,3,5,5,8,5,7.9,41.979405,-70.744813,0.380595,0.084813,0.465408,142,0.050813,,,,,,,,
Lakeville,0,0,2,3.8,3,5.7,41.843757,-70.959981,0.516243,0.299981,0.816224,149,0.265981,,,,,,,,
Lancaster,2,5.5,2,5.5,5,12.4,42.427188,-71.91177,0.067188,1.25177,1.318958,155,1.21777,,,,,,,,
Lawrence,40,10.8,30,7.4,71,18.6,42.70734,-71.161052,0.34734,0.501052,0.848392,163,0.467052,,,,,,,,
Lee,0,0,0,0,4,13.5,42.369856,-73.267465,0.009856,2.607465,2.617321,174,2.573465,,,,,,,,
Leicester,3,5.7,6,11,6,10.9,42.238192,-72.012379,0.121808,1.352379,1.474187,184,1.318379,,,,,,,,
Lenox,0,0,0,0,2,8,42.459202,-73.219858,0.099202,2.559858,2.65906,196,2.525858,,,,,,,,
Leominster,19,9.2,16,7.6,31,15.2,42.471316,-71.837509,0.111316,1.177509,1.288825,202,1.143509,,,,,,,,
Leverett,1,11.9,0,0,0,0,42.474681,-72.467543,0.114681,1.807543,1.922224,210,1.773543,,,,,,,,
Lexington,9,5.9,4,2.6,9,5.7,42.45631,-71.21665,0.09631,0.55665,0.65296,219,0.52265,,,,,,,,
Lincoln,0,0,0,0,0,0,42.446396,-71.459405,0.086396,0.799405,0.885801,217,0.765405,,,,,,,,
Littleton,0,0,3,6.9,0,0,42.446396,-71.459405,0.086396,0.799405,0.885801,207,0.765405,,,,,,,,
Longmeadow,3,3.8,1,1.3,5,6.3,42.049194,-72.567882,0.310806,1.907882,2.218688,196,1.873882,,,,,,,,
Lowell,56,10.6,71,13.4,151,28.4,42.446396,-71.459405,0.086396,0.799405,0.885801,116,0.765405,,,,,,,,
Ludlow,6,5.6,7,6.5,10,9.5,42.173276,-72.627038,0.186724,1.967038,2.153762,126,1.933038,,,,,,,,
Lunenburg,5,10.5,1,2,8,15.9,42.583322,-71.752266,0.223322,1.092266,1.315588,138,1.058266,,,,,,,,
Lynn,98,21.9,89,19.4,145,32.1,42.461246,-70.946743,0.101246,0.286743,0.387989,142,0.252743,,,,,,,,
Lynnfield,5,8.7,1,1.7,3,5.2,42.533732,-71.028775,0.173732,0.368775,0.542507,149,0.334775,,,,,,,,
Malden,34,12.1,44,15.4,64,21.5,42.436545,-71.085396,0.076545,0.425396,0.501941,155,0.391396,,,,,,,,
Manchester,2,7.6,0,0,0,0,42.579503,-70.755062,0.219503,0.095062,0.314565,163,0.061062,,,,,,,,
Mansfield,15,13.3,5,4.4,12,10.4,42.013182,-71.218373,0.346818,0.558373,0.905191,174,0.524373,,,,,,,,
Marblehead,3,2.9,4,4,6,6.1,42.56142,-70.770768,0.20142,0.110768,0.312188,184,0.076768,,,,,,,,
Marion,2,7.7,0,0,2,8.2,41.736735,-70.754015,0.623265,0.094015,0.71728,196,0.060015,,,,,,,,
Marlborough,13,7.1,14,7.5,26,13.5,42.446396,-71.459405,0.086396,0.799405,0.885801,202,0.765405,,,,,,,,
Marshfield,5,4.1,16,12.8,20,15.9,42.111805,-70.710744,0.248195,0.050744,0.298939,210,0.016744,,,,,,,,
Mashpee,8,12.1,7,9.9,19,27.1,41.788337,-70.253543,0.571663,0.406457,0.97812,219,0,,,,,,,,
Mattapoisett,2,6.3,0,0,2,6.6,41.664976,-70.810856,0.695024,0.150856,0.84588,217,0.116856,,,,,,,,
Maynard,0,0,3,5.9,8,15.8,42.446396,-71.459405,0.086396,0.799405,0.885801,207,0.765405,,,,,,,,
Medfield,2,3.3,3,4.9,1,1.7,42.181265,-71.309934,0.178735,0.649934,0.828669,196,0.615934,,,,,,,,
Medford,37,13.4,39,14.4,56,19.9,42.446396,-71.459405,0.086396,0.799405,0.885801,116,0.765405,,,,,,,,
Medway,5,8,7,11,2,3.1,42.156282,-71.427663,0.203718,0.767663,0.971381,126,0.733663,,,,,,,,
Melrose,11,8.2,12,9.1,19,14.1,42.458995,-71.053095,0.098995,0.393095,0.49209,138,0.359095,,,,,,,,
Mendon,1,3.7,2,6.9,3,10.3,42.100352,-71.546961,0.259648,0.886961,1.146609,142,0.852961,,,,,,,,
Merrimac,0,0,2,6.3,3,9.5,42.802441,-71.0896,0.442441,0.4296,0.872041,149,0.3956,,,,,,,,
Methuen,16,7.3,24,10.6,26,11,42.73184,-71.186915,0.37184,0.526915,0.898755,155,0.492915,,,,,,,,
Middlefield,0,0,0,0,1,38.4,42.356088,-73.010448,0.003912,2.350448,2.35436,163,2.316448,,,,,,,,
Middleton,1,2.5,5,11,6,13.4,42.644942,-71.087905,0.284942,0.427905,0.712847,174,0.393905,,,,,,,,
Milford,11,8.2,10,7.2,15,10.7,42.147087,-71.528085,0.212913,0.868085,1.080998,184,0.834085,,,,,,,,
Millbury,7,10.8,6,9,12,18.1,42.255642,-71.819961,0.104358,1.159961,1.264319,196,1.125961,,,,,,,,
Millis,2,5.1,0,0,2,5.1,42.165249,-71.36126,0.194751,0.70126,0.896011,202,0.66726,,,,,,,,
Millville,0,0,0,0,0,0,42.124662,-71.846943,0.235338,1.186943,1.422281,210,1.152943,,,,,,,,
Milton,5,3.8,4,3,6,4.4,42.240598,-71.078494,0.119402,0.418494,0.537896,219,0.384494,,,,,,,,
Monson,3,7.1,2,4.6,3,7,42.095323,-72.282063,0.264677,1.622063,1.88674,217,1.588063,,,,,,,,
Montague,4,9.4,4,9.5,2,4.7,42.548107,-72.48693,0.188107,1.82693,2.015037,207,1.79293,,,,,,,,
Monterey,0,0,0,0,0,0,42.18669,-73.206498,0.17331,2.546498,2.719808,196,2.512498,,,,,,,,
Nahant,0,0,4,22.5,1,5.9,42.427296,-70.922442,0.067296,0.262442,0.329738,116,0.228442,,,,,,,,
Nantucket,1,2.1,3,5.9,3,5.9,41.287647,-70.08665,1.072353,0.57335,1.645703,126,0,,,,,,,,
Natick,6,3.7,5,3.1,17,10.3,42.446396,-71.459405,0.086396,0.799405,0.885801,138,0.765405,,,,,,,,
